source,name,price,revenue,profit,multiple,description,url,price_numeric,revenue_numeric,profit_numeric,revenue_multiple,profit_multiple,is_amazon_fba
BizBuySell,"Powdered Nutrition eCommerce Brand | 250% YOY Growth | 35% RepeatsTampa, FL WebsiteClosersÂ® presents a premium eCommerce Brand strategically position","$250,000","$2,022","$500,004",123.64x,"All LocationsIndustries Listing Types Price Range More Filters (1) Filters ClearSave SearchSaveAmazon Stores (FBA & FBM) For SaleShowing 152 results sorted by SortfeaturedSave SearchAuto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores. Extremely scalab",https://www.bizbuysell.com/business-opportunity/powdered-nutrition-ecommerce-brand-250-yoy-growth-35-repeats/2385547/,250000.0,2022.0,500004.0,123.63996043521266,0.4999960000319997,True
BizBuySell,"Sheet/Tube shop with new laser machinery and branded productsBrea, CA This listing is a FSBO listing. This well equipped sheet metal and tube products","$250,000","$2,022","$500,004",123.64x,"All LocationsIndustries Listing Types Price Range More Filters (1) Filters ClearSave SearchSaveAmazon Stores (FBA & FBM) For SaleShowing 152 results sorted by SortfeaturedSave SearchAuto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores. Extremely scalab",https://www.bizbuysell.com/business-opportunity/sheet-tube-shop-with-new-laser-machinery-and-branded-products/2327187/,250000.0,2022.0,500004.0,123.63996043521266,0.4999960000319997,True
BizBuySell,"Sleep Products â Bricks & Mortar plus OnlineMaricopa County, AZ Highly Rated Bedding Retailer Serving Growing Arizona Market Proudly positioned as a","$250,000","$2,022","$500,004",123.64x,"All LocationsIndustries Listing Types Price Range More Filters (1) Filters ClearSave SearchSaveAmazon Stores (FBA & FBM) For SaleShowing 152 results sorted by SortfeaturedSave SearchAuto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores. Extremely scalab",https://www.bizbuysell.com/business-opportunity/sleep-products-bricks-and-mortar-plus-online/2296505/,250000.0,2022.0,500004.0,123.63996043521266,0.4999960000319997,True
BizBuySell,"Bridal Buddy Ecommerce Brand with IP & Inventory As Seen on Shark TankBridal Buddy: A trademarked, Media-Validated E-commerce Powerhouse with Signific","$250,000","$2,022","$500,004",123.64x,"All LocationsIndustries Listing Types Price Range More Filters (1) Filters ClearSave SearchSaveAmazon Stores (FBA & FBM) For SaleShowing 152 results sorted by SortfeaturedSave SearchAuto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores. Extremely scalab",https://www.bizbuysell.com/business-opportunity/bridal-buddy-ecommerce-brand-with-ip-and-inventory-as-seen-on-shark-tank/2382480/,250000.0,2022.0,500004.0,123.63996043521266,0.4999960000319997,True
BizBuySell,"Profitable UK Novelty Empire: $6M Revenue, $644K ProfitSheffield Leading UK Fancy Dress & Party Products Business Key Highlights Proven Profitability:","$250,000","$2,022","$500,004",123.64x,"All LocationsIndustries Listing Types Price Range More Filters (1) Filters ClearSave SearchSaveAmazon Stores (FBA & FBM) For SaleShowing 152 results sorted by SortfeaturedSave SearchAuto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores. Extremely scalab",https://www.bizbuysell.com/business-opportunity/profitable-uk-novelty-empire-6m-revenue-644k-profit/2381871/,250000.0,2022.0,500004.0,123.63996043521266,0.4999960000319997,True
BizBuySell,"Amazon FBA eCommerce Brand | Water Filtration Products | 10 Year BizTampa, FL WebsiteClosersÂ® presents a 10-year-old, high-performance Amazon FBA eCo","$250,000","$2,022","$500,004",123.64x,"All LocationsIndustries Listing Types Price Range More Filters (1) Filters ClearSave SearchSaveAmazon Stores (FBA & FBM) For SaleShowing 152 results sorted by SortfeaturedSave SearchAuto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores. Extremely scalab",https://www.bizbuysell.com/business-opportunity/amazon-fba-ecommerce-brand-water-filtration-products-10-year-biz/2380830/,250000.0,2022.0,500004.0,123.63996043521266,0.4999960000319997,True
BizBuySell,"Amazon FBA eCommerce Brand | Home & Kitchen | Proprietary SoftwareTampa, FL WebsiteClosersÂ® presents a rare opportunity to acquire a fast-scaling, te","$250,000","$2,022","$500,004",123.64x,"All LocationsIndustries Listing Types Price Range More Filters (1) Filters ClearSave SearchSaveAmazon Stores (FBA & FBM) For SaleShowing 152 results sorted by SortfeaturedSave SearchAuto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores. Extremely scalab",https://www.bizbuysell.com/business-opportunity/amazon-fba-ecommerce-brand-home-and-kitchen-proprietary-software/2380349/,250000.0,2022.0,500004.0,123.63996043521266,0.4999960000319997,True
BizBuySell,"Amazon Canada Supplier Online StoreBritish Columbia, BC Profitable Amazon Canada Store â Health & Wellness Niche with $80K Inventory Included Unique","$250,000","$2,022","$500,004",123.64x,"All LocationsIndustries Listing Types Price Range More Filters (1) Filters ClearSave SearchSaveAmazon Stores (FBA & FBM) For SaleShowing 152 results sorted by SortfeaturedSave SearchAuto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores. Extremely scalab",https://www.bizbuysell.com/business-opportunity/amazon-canada-supplier-online-store/2377873/,250000.0,2022.0,500004.0,123.63996043521266,0.4999960000319997,True
BizBuySell,"eCommerce Portfolio of 10 Brands | Amazon FBA Channel | Semi-AbsenteeTampa, FL WebsiteClosersÂ® proudly presents a rare opportunity to acquire a highl","$250,000","$2,022","$500,004",123.64x,"All LocationsIndustries Listing Types Price Range More Filters (1) Filters ClearSave SearchSaveAmazon Stores (FBA & FBM) For SaleShowing 152 results sorted by SortfeaturedSave SearchAuto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores. Extremely scalab",https://www.bizbuysell.com/business-opportunity/ecommerce-portfolio-of-10-brands-amazon-fba-channel-semi-absentee/2377160/,250000.0,2022.0,500004.0,123.63996043521266,0.4999960000319997,True
BizBuySell,"Amazon FBA Brand | Home Improvement & Hardware VerticalTampa, FL WebsiteClosersÂ® presents a 13-year Amazon FBA eCommerce Brand that has established i","$250,000","$2,022","$500,004",123.64x,"All LocationsIndustries Listing Types Price Range More Filters (1) Filters ClearSave SearchSaveAmazon Stores (FBA & FBM) For SaleShowing 152 results sorted by SortfeaturedSave SearchAuto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores. Extremely scalab",https://www.bizbuysell.com/business-opportunity/amazon-fba-brand-home-improvement-and-hardware-vertical/2376754/,250000.0,2022.0,500004.0,123.63996043521266,0.4999960000319997,True
